Event,Card Colour,Time,Conversion,For,Score
Home Score,,,,,34
Away Score,,,,,17
Try,,78,Missed,edinburgh
Substitution,,75,,edinburgh
Try,,68,Missed,edinburgh
Try,,63,Converted,edinburgh
Substitution,,56,,edinburgh
Penalty,,55,Converted,edinburgh
Try,,15,Converted,edinburgh
Try,,7,Converted,edinburgh
Substitution,,75,,dragons
Substitution,,72,,dragons
Substitution,,67,,dragons
Substitution,,56,,dragons
Substitution,,45,,dragons
Penalty,,25,Converted,dragons
Try,,18,Converted,dragons
Try,,11,Converted,dragons
