Event,Card Colour,Time,Conversion,For,Score
Home Score,,,,,24
Away Score,,,,,40
Substitution,,64,,zebre
Substitution,,64,,zebre
Try,,61,Missed,zebre
Substitution,,60,,zebre
Try,,38,Missed,zebre
Try,,33,Converted,zebre
Try,,29,Converted,zebre
Card,Yellow,21,,zebre
Substitution,,16,,zebre
Substitution,,8,,zebre
Substitution,,5,,zebre
Try,,79,Converted,leinster
Substitution,,77,,leinster
Try,,74,Missed,leinster
Substitution,,68,,leinster
Substitution,,64,,leinster
Substitution,,63,,leinster
Try,,54,Converted,leinster
Substitution,,51,,leinster
Substitution,,51,,leinster
Substitution,,51,,leinster
Try,,22,Converted,leinster
Try,,13,Converted,leinster
Try,,6,Converted,leinster
