Event,Card Colour,Time,Conversion,For,Score
Home Score,,,,,36
Away Score,,,,,18
Substitution,,80,,ulster
Try,,78,Converted,ulster
Substitution,,71,,ulster
Substitution,,63,,ulster
Substitution,,58,,ulster
Substitution,,56,,ulster
Substitution,,56,,ulster
Substitution,,50,,ulster
Substitution,,50,,ulster
Try,,48,Missed,ulster
Try,,39,Converted,ulster
Try,,22,Converted,ulster
Try,,10,Converted,ulster
Penalty,,6,Converted,ulster
Substitution,,70,,dragons
Try,,66,Missed,dragons
Substitution,,62,,dragons
Substitution,,56,,dragons
Substitution,,51,,dragons
Substitution,,50,,dragons
Substitution,,50,,dragons
Substitution,,45,,dragons
Penalty,,37,Converted,dragons
Try,,30,Converted,dragons
Penalty,,16,Converted,dragons
