Event,Card Colour,Time,Conversion,For,Score
Home Score,,,,,40
Away Score,,,,,36
Substitution,,77,,cheetahs
Substitution,,71,,cheetahs
Substitution,,69,,cheetahs
Substitution,,66,,cheetahs
Try,,66,Converted,cheetahs
Try,,63,Converted,cheetahs
Try,,55,Converted,cheetahs
Substitution,,52,,cheetahs
Substitution,,52,,cheetahs
Substitution,,40,,cheetahs
Substitution,,40,,cheetahs
Card,Yellow,39,,cheetahs
Card,Yellow,33,,cheetahs
Try,,24,Missed,cheetahs
Try,,15,Converted,cheetahs
Try,,7,Converted,cheetahs
Substitution,,2,,cheetahs
Try,,83,Converted,southern kings
Try,,76,Converted,southern kings
Try,,73,Converted,southern kings
Substitution,,70,,southern kings
Substitution,,67,,southern kings
Card,Red,63,,southern kings
Substitution,,63,,southern kings
Substitution,,63,,southern kings
Substitution,,63,,southern kings
Substitution,,59,,southern kings
Substitution,,56,,southern kings
Try,,47,Missed,southern kings
Substitution,,41,,southern kings
Try,,34,Converted,southern kings
Card,Yellow,22,,southern kings
Penalty,,2,Converted,southern kings
